Adjective,adjective.masc-form,adjective.fem-form
individuo,individuo,individua
humano,humano,humana
chico,chico,chica
anciano,anciano,anciana
joven,,
sabio,sabio,sabia
jovencito,jovencito,jovencita
animal,,
creyente,,
campesino,campesino,campesina
adinerado,adinerado,adinerada
fornido,fornido,fornida
padre,,
trabajador,trabajador,trabajadora
sujeto,sujeto,sujeta
jóven,,
desgraciado,desgraciado,desgraciada
vagabundo,vagabundo,vagabunda
guapo,guapo,guapa
cristiano,cristiano,cristiana
desdichado,desdichado,desdichada
pecador,pecador,pecadora
soñador,soñador,soñadora
procreador,procreador,procreadora
barbudo,barbudo,barbuda
corpulento,corpulento,corpulenta
viejo,viejo,vieja
amante,,
perro,perro,perra
cazador,cazador,cazadora
pescador,pescador,pescadora
soltero,soltero,soltera
seductor,seductor,seductora
señor,señor,señora
delincuente,,
afortunado,afortunado,afortunada
guerrero,guerrero,guerrera
camionero,camionero,camionera
polifacético,polifacético,polifacética
vaquero,vaquero,vaquera
necio,necio,necia
asesino,asesino,asesina
visionario,visionario,visionaria
piadoso,piadoso,piadosa
maduro,maduro,madura
acaudalado,acaudalado,acaudalada
metrosexual,,
viviente,,
macho,macho,
mono,mono,mona
poderoso,poderoso,poderosa
encarnado,encarnado,encarnada
honrado,honrado,honrada
galán,galán,galana
pensador,pensador,pensadora
primitivo,primitivo,primitiva
hombruno,hombruno,hombruna
octogenario,octogenario,octogenaria
masculino,masculino,masculina
rudo,rudo,ruda
depravado,depravado,depravada
buenmozo,buenmozo,buenmoza
caballeroso,caballeroso,caballerosa
astuto,astuto,astuta
homosexual,,
ateo,ateo,atea
forzudo,forzudo,forzuda
embarazado,embarazado,embarazada
viajador,viajador,viajadora
ciudadano,ciudadano,ciudadana
infeliz,,
mujeriego,mujeriego,mujeriega
agricultor,agricultor,agricultora
intrépido,intrépido,intrépida
civilizado,civilizado,civilizada
aventurero,aventurero,aventurera
bondadoso,bondadoso,bondadosa
semihumano,semihumano,semihumana
heterosexual,,
tímido,tímido,tímida
cultísimo,cultísimo,cultísima
sapiente,,
homínido,homínido,homínida
adúltero,adúltero,adúltera
viudo,viudo,viuda
mamífero,mamífero,mamífera
misterioso,misterioso,misteriosa
zoófilo,zoófilo,zoófila
zorro,zorro,zorra
ladrón,ladrón,ladrana
polígamo,polígamo,polígama
desalmado,desalmado,desalmada
conquistador,conquistador,conquistadora
fortachón,fortachón,fortachana
sexuado,sexuado,sexuada
artesano,artesano,artesana
vecino,vecino,vecina
musculoso,musculoso,musculosa
afeminado,afeminado,afeminada
engendrador,engendrador,engendradora