Group,translation,en,es,de
Spanish Masculine,underpants,underpants,calzoncillos,Unterhose
German Masculine,belly,belly,barriga,Bauch
Spanish Masculine,cat,cat,gato,Katze
German Masculine,cage,cage,jaula,Käfig
Spanish Masculine,shoulder,shoulder,hombro,Schulter
German Masculine,chair,chair,silla,Stuhl
Spanish Masculine,clock,clock,reloj,Uhr
German Masculine,dirt,dirt,suciedad,Schmutz
Spanish Masculine,dresser,dresser,vestidor,Kommode
German Masculine,fingernail,fingernail,uña,Fingernagel
Spanish Masculine,necklace,necklace,collar,Halskette
German Masculine,wing,wing,ala,Flügel
Spanish Masculine,pants,pants,pantalones,Hose
German Masculine,moon,moon,luna,Mond
Spanish Masculine,mouse,mouse,ratón,Maus
German Masculine,star,star,estrella,Stern
Spanish Masculine,sun,sun,sol,Sonne
German Masculine,movie,movie,película,Film