group,language,gender,noun,translation
spanish masculine,en,neuter,barn,barn
spanish masculine,es,masculine,granero,barn
spanish masculine,de,feminine,Scheune,barn
spanish masculine,de,feminine,Bank,bench
spanish masculine,es,masculine,banco,bench
spanish masculine,en,neuter,bench,bench
spanish masculine,de,feminine,Schüssel,bowl
spanish masculine,es,masculine,bol,bowl
spanish masculine,en,neuter,bowl,bowl
spanish masculine,de,feminine,Hummel,bumblebee
spanish masculine,es,masculine,abejorro,bumblebee
spanish masculine,en,neuter,bumblebee,bumblebee
spanish masculine,de,feminine,Taste,button
spanish masculine,es,masculine,botón,button
spanish masculine,en,neuter,button,button
spanish masculine,de,feminine,Katze,cat
spanish masculine,es,masculine,gato,cat
spanish masculine,en,neuter,cat,cat
spanish masculine,de,feminine,Decke,ceiling
spanish masculine,es,masculine,techo,ceiling
spanish masculine,en,neuter,ceiling,ceiling
spanish masculine,de,feminine,Uhr,clock
spanish masculine,es,masculine,reloj,clock
spanish masculine,en,neuter,clock,clock
spanish masculine,de,feminine,Couch,couch
spanish masculine,es,masculine,sofá,couch
spanish masculine,en,neuter,couch,couch
spanish masculine,de,feminine,Kommode,dresser
spanish masculine,es,masculine,vestidor,dresser
spanish masculine,en,neuter,dresser,dresser
spanish masculine,de,feminine,Trommel,drum
spanish masculine,es,masculine,tambor,drum
spanish masculine,en,neuter,drum,drum
spanish masculine,de,feminine,Faust,fist
spanish masculine,es,masculine,puño,fist
spanish masculine,en,neuter,fist,fist
spanish masculine,de,feminine,Gabel,fork
spanish masculine,es,masculine,tenedor,fork
spanish masculine,en,neuter,fork,fork
spanish masculine,de,feminine,Lippe,lip
spanish masculine,es,masculine,labio,lip
spanish masculine,en,neuter,lip,lip
spanish masculine,de,feminine,Matratze,mattress
spanish masculine,es,masculine,colchón,mattress
spanish masculine,en,neuter,mattress,mattress
spanish masculine,de,feminine,Maus,mouse
spanish masculine,es,masculine,ratón,mouse
spanish masculine,en,neuter,mouse,mouse
spanish masculine,de,feminine,Halskette,necklace
spanish masculine,es,masculine,collar,necklace
spanish masculine,en,neuter,necklace,necklace
spanish masculine,de,feminine,Hose,pants
spanish masculine,es,masculine,pantalones,pants
spanish masculine,en,neuter,pants,pants
spanish masculine,de,feminine,Schulter,shoulder
spanish masculine,es,masculine,hombro,shoulder
spanish masculine,en,neuter,shoulder,shoulder
spanish masculine,de,feminine,Sonne,sun
spanish masculine,es,masculine,sol,sun
spanish masculine,en,neuter,sun,sun
spanish masculine,de,feminine,Toilette,toilet
spanish masculine,es,masculine,baño,toilet
spanish masculine,en,neuter,toilet,toilet
spanish masculine,de,feminine,Unterhose,underpants
spanish masculine,es,masculine,calzoncillos,underpants
spanish masculine,en,neuter,underpants,underpants
spanish masculine,en,neuter,seesaw,seesaw
spanish masculine,es,masculine,balancín,seesaw
spanish masculine,de,feminine,Wippe,seesaw
spanish masculine,en,neuter,sock,sock
spanish masculine,es,masculine,calcetín,sock
spanish masculine,de,feminine,Socke,sock
spanish masculine,en,neuter,wall,wall
spanish masculine,es,masculine,muro,wall
spanish masculine,de,feminine,Wand,wall
german masculine,en,neuter,wing,wing
german masculine,es,feminine,ala,wing
german masculine,de,masculine,Flügel,wing
german masculine,en,neuter,movie,movie
german masculine,es,feminine,película,movie
german masculine,de,masculine,Film,movie
german masculine,en,neuter,chair,chair
german masculine,es,feminine,silla,chair
german masculine,de,masculine,Stuhl,chair
german masculine,es,feminine,barriga,belly
german masculine,de,masculine,Bauch,belly
german masculine,en,neuter,belly,belly
german masculine,es,feminine,caja,box
german masculine,de,masculine,Kasten,box
german masculine,en,neuter,box,box
german masculine,es,feminine,mariposa,butterfly
german masculine,de,masculine,Schmetterling,butterfly
german masculine,en,neuter,butterfly,butterfly
german masculine,es,feminine,jaula,cage
german masculine,de,masculine,Käfig,cage
german masculine,en,neuter,cage,cage
german masculine,es,feminine,suciedad,dirt
german masculine,de,masculine,Schmutz,dirt
german masculine,en,neuter,dirt,dirt
german masculine,es,feminine,uña,fingernail
german masculine,de,masculine,Fingernagel,fingernail
german masculine,en,neuter,fingernail,fingernail
german masculine,es,feminine,pez,fish
german masculine,de,masculine,Fisch,fish
german masculine,en,neuter,fish,fish
german masculine,es,feminine,rana,frog
german masculine,de,masculine,Frosch,frog
german masculine,en,neuter,frog,frog
german masculine,es,feminine,cabeza,head
german masculine,de,masculine,Kopf,head
german masculine,en,neuter,head,head
german masculine,es,feminine,mariquita,ladybug
german masculine,de,masculine,Marienkäfer,ladybug
german masculine,en,neuter,ladybug,ladybug
german masculine,es,feminine,luna,moon
german masculine,de,masculine,Mond,moon
german masculine,en,neuter,moon,moon
german masculine,es,feminine,boca,mouth
german masculine,de,masculine,Mund,mouth
german masculine,en,neuter,mouth,mouth
german masculine,es,feminine,tarta,pie
german masculine,de,masculine,Kuchen,pie
german masculine,en,neuter,pie,pie
german masculine,es,feminine,lluvia,rain
german masculine,de,masculine,Regen,rain
german masculine,en,neuter,rain,rain
german masculine,es,feminine,arena,sand
german masculine,de,masculine,Sand,sand
german masculine,en,neuter,sand,sand
german masculine,es,feminine,estrella,star
german masculine,de,masculine,Stern,star
german masculine,en,neuter,star,star
german masculine,es,feminine,cocina,stove
german masculine,de,masculine,Herd,stove
german masculine,en,neuter,stove,stove
german masculine,es,feminine,mesa,table
german masculine,de,masculine,Tisch,table
german masculine,en,neuter,table,table
german masculine,es,feminine,tapa,washcloth
german masculine,de,masculine,Waschlappen,washcloth
german masculine,en,neuter,washcloth,washcloth
german masculine,en,neuter,stripe,stripe
german masculine,es,feminine,raya,stripe
german masculine,de,masculine,Streifen,stripe
german masculine,en,neuter,pajama,pajama
german masculine,es,feminine,pijama,pajama
german masculine,de,masculine,Schlafanzug,pajama
german masculine,en,neuter,toaster,toaster
german masculine,es,feminine,tostadora,toaster
german masculine,de,masculine,Toaster,toaster